fsa,letter,numbers,lane,control,project,extra,sample.identifier,single.dilution,DNA.condition,identifiers.str,ratios.str,mix.dilution,template.nanograms,kit,Q,capillary,injection.seconds
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012216LEA_10sec)/G09_RD14-0003-10d3e-0.02IP-Q26.8_003.10sec.fsa,G,09,RD14-0003-10d3e,"",RD14-0003,10d3e,10,3e,"","","","",0.02,IP,26.8,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012216LEA_10sec)/H01_RD14-0003-09d3a-0.0078IP-Q0.8_004.10sec.fsa,H,01,RD14-0003-09d3a,"",RD14-0003,09d3a,9,3a,"","","","",0.0078,IP,0.8,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012216LEA_10sec)/H02_RD14-0003-09d3c-0.0078IP-Q1.5_004.10sec.fsa,H,02,RD14-0003-09d3c,"",RD14-0003,09d3c,9,3c,"","","","",0.0078,IP,1.5,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012216LEA_10sec)/H03_RD14-0003-09d3d-0.0156IP-Q1.7_004.10sec.fsa,H,03,RD14-0003-09d3d,"",RD14-0003,09d3d,9,3d,"","","","",0.0156,IP,1.7,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012216LEA_10sec)/H04_RD14-0003-09d3e-0.0156IP-Q9.5_004.10sec.fsa,H,04,RD14-0003-09d3e,"",RD14-0003,09d3e,9,3e,"","","","",0.0156,IP,9.5,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012216LEA_10sec)/H05_RD14-0003-10d2a-0.125IP-Q1.0_004.10sec.fsa,H,05,RD14-0003-10d2a,"",RD14-0003,10d2a,10,2a,"","","","",0.125,IP,1.0,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012216LEA_10sec)/H06_RD14-0003-10d1c-0.125IP-Q1.5_004.10sec.fsa,H,06,RD14-0003-10d1c,"",RD14-0003,10d1c,10,1c,"","","","",0.125,IP,1.5,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012216LEA_10sec)/H07_RD14-0003-10d1d-0.25IP-Q2.2_004.10sec.fsa,H,07,RD14-0003-10d1d,"",RD14-0003,10d1d,10,1d,"","","","",0.25,IP,2.2,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012216LEA_10sec)/H08_RD14-0003-10d1e-0.25IP-Q3.7_004.10sec.fsa,H,08,RD14-0003-10d1e,"",RD14-0003,10d1e,10,1e,"","","","",0.25,IP,3.7,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012216LEA_10sec)/H09_RB021915ADG-IP_004.10sec.fsa,H,09,RB021915ADG,RB021915ADG,"","",,"","","","","",,IP,"",004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012516LEA_10sec)/A01_Ladder-IP_001.10sec.fsa,A,01,Ladder,Ladder,"","",,"","","","","",,IP,"",001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012516LEA_10sec)/A02_RD14-0003-03d2U60-0.25IP-Q8.8_001.10sec.fsa,A,02,RD14-0003-03d2U60,"",RD14-0003,03d2U60,3,2U60,"","","","",0.25,IP,8.8,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012516LEA_10sec)/A03_RD14-0003-03d2U105-0.0625IP-Q25.9_001.10sec.fsa,A,03,RD14-0003-03d2U105,"",RD14-0003,03d2U105,3,2U105,"","","","",0.0625,IP,25.9,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012516LEA_10sec)/A04_POS031115ADG-IP_001.10sec.fsa,A,04,POS031115ADG,POS031115ADG,"","",,"","","","","",,IP,"",001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012516LEA_10sec)/B01_RD14-0003-03d1U60-0.5IP-Q1.6_002.10sec.fsa,B,01,RD14-0003-03d1U60,"",RD14-0003,03d1U60,3,1U60,"","","","",0.5,IP,1.6,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012516LEA_10sec)/B02_RD14-0003-03d2U60-0.125IP-Q8.8_002.10sec.fsa,B,02,RD14-0003-03d2U60,"",RD14-0003,03d2U60,3,2U60,"","","","",0.125,IP,8.8,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012516LEA_10sec)/B03_Ladder-IP_002.10sec.fsa,B,03,Ladder,Ladder,"","",,"","","","","",,IP,"",002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012516LEA_10sec)/B04_NEG031115ADG-IP_002.10sec.fsa,B,04,NEG031115ADG,NEG031115ADG,"","",,"","","","","",,IP,"",002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012516LEA_10sec)/C01_RD14-0003-03d2U15-0.25IP-Q1.8_003.10sec.fsa,C,01,RD14-0003-03d2U15,"",RD14-0003,03d2U15,3,2U15,"","","","",0.25,IP,1.8,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012516LEA_10sec)/C02_RD14-0003-03d2U60-0.0625IP-Q8.8_003.10sec.fsa,C,02,RD14-0003-03d2U60,"",RD14-0003,03d2U60,3,2U60,"","","","",0.0625,IP,8.8,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012516LEA_10sec)/C03_RD14-0003-03d2U105-0.0313IP-Q25.9_003.10sec.fsa,C,03,RD14-0003-03d2U105,"",RD14-0003,03d2U105,3,2U105,"","","","",0.0313,IP,25.9,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012516LEA_10sec)/D01_RD14-0003-03d3U15-0.125IP-Q2.3_004.10sec.fsa,D,01,RD14-0003-03d3U15,"",RD14-0003,03d3U15,3,3U15,"","","","",0.125,IP,2.3,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012516LEA_10sec)/D02_RD14-0003-03d3U60-0.0313IP-Q15.1_004.10sec.fsa,D,02,RD14-0003-03d3U60,"",RD14-0003,03d3U60,3,3U60,"","","","",0.0313,IP,15.1,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012516LEA_10sec)/D03_RD14-0003-03d3U105-0.0156IP-Q23.8_004.10sec.fsa,D,03,RD14-0003-03d3U105,"",RD14-0003,03d3U105,3,3U105,"","","","",0.0156,IP,23.8,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012516LEA_10sec)/E01_RD14-0003-03d3U15-0.0625IP-Q2.3_001.10sec.fsa,E,01,RD14-0003-03d3U15,"",RD14-0003,03d3U15,3,3U15,"","","","",0.0625,IP,2.3,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012516LEA_10sec)/E02_RD14-0003-03d3U60-0.0156IP-Q15.1_001.10sec.fsa,E,02,RD14-0003-03d3U60,"",RD14-0003,03d3U60,3,3U60,"","","","",0.0156,IP,15.1,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012516LEA_10sec)/E03_EB030315ADG-IP_001.10sec.fsa,E,03,EB030315ADG,EB030315ADG,"","",,"","","","","",,IP,"",001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012516LEA_10sec)/F01_RD14-0003-03d3U15-0.0313IP-Q2.3_002.10sec.fsa,F,01,RD14-0003-03d3U15,"",RD14-0003,03d3U15,3,3U15,"","","","",0.0313,IP,2.3,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012516LEA_10sec)/F02_RD14-0003-03d1U480-0.5IP-Q1.7_002.10sec.fsa,F,02,RD14-0003-03d1U480,"",RD14-0003,03d1U480,3,1U480,"","","","",0.5,IP,1.7,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012516LEA_10sec)/F03_EB1030315ADG-IP_002.10sec.fsa,F,03,EB1030315ADG,EB1030315ADG,"","",,"","","","","",,IP,"",002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012516LEA_10sec)/G01_RD14-0003-03d3U15-0.0156IP-Q2.3_003.10sec.fsa,G,01,RD14-0003-03d3U15,"",RD14-0003,03d3U15,3,3U15,"","","","",0.0156,IP,2.3,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012516LEA_10sec)/G02_RD14-0003-03d1U480-0.25IP-Q1.7_003.10sec.fsa,G,02,RD14-0003-03d1U480,"",RD14-0003,03d1U480,3,1U480,"","","","",0.25,IP,1.7,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012516LEA_10sec)/G03_EB2030315ADG-IP_003.10sec.fsa,G,03,EB2030315ADG,EB2030315ADG,"","",,"","","","","",,IP,"",003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012516LEA_10sec)/H01_RD14-0003-03d1U240-0.5IP-Q1.7_004.10sec.fsa,H,01,RD14-0003-03d1U240,"",RD14-0003,03d1U240,3,1U240,"","","","",0.5,IP,1.7,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012516LEA_10sec)/H02_RD14-0003-03d2U105-0.125IP-Q25.9_004.10sec.fsa,H,02,RD14-0003-03d2U105,"",RD14-0003,03d2U105,3,2U105,"","","","",0.125,IP,25.9,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012516LEA_10sec)/H03_RB030615ADG-IP_004.10sec.fsa,H,03,RB030615ADG,RB030615ADG,"","",,"","","","","",,IP,"",004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012616LEA_10sec)/A01_Ladder-IP_001.10sec.fsa,A,01,Ladder,Ladder,"","",,"","","","","",,IP,"",001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012616LEA_10sec)/A02_RD14-0003-04d2U60-0.25IP-Q15.8_001.10sec.fsa,A,02,RD14-0003-04d2U60,"",RD14-0003,04d2U60,4,2U60,"","","","",0.25,IP,15.8,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012616LEA_10sec)/A03_RD14-0003-04d3U105-0.0625IP-Q184.8_001.10sec.fsa,A,03,RD14-0003-04d3U105,"",RD14-0003,04d3U105,4,3U105,"","","","",0.0625,IP,184.8,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012616LEA_10sec)/B01_RD14-0003-04d2U15-0.5IP-Q2.4_002.10sec.fsa,B,01,RD14-0003-04d2U15,"",RD14-0003,04d2U15,4,2U15,"","","","",0.5,IP,2.4,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012616LEA_10sec)/B02_RD14-0003-04d3U60-0.125IP-Q25.8_002.10sec.fsa,B,02,RD14-0003-04d3U60,"",RD14-0003,04d3U60,4,3U60,"","","","",0.125,IP,25.8,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012616LEA_10sec)/B03_Ladder-IP_002.10sec.fsa,B,03,Ladder,Ladder,"","",,"","","","","",,IP,"",002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012616LEA_10sec)/C01_RD14-0003-04d2U15-0.25IP-Q2.4_003.10sec.fsa,C,01,RD14-0003-04d2U15,"",RD14-0003,04d2U15,4,2U15,"","","","",0.25,IP,2.4,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012616LEA_10sec)/C02_RD14-0003-04d3U60-0.0625IP-Q25.8_003.10sec.fsa,C,02,RD14-0003-04d3U60,"",RD14-0003,04d3U60,4,3U60,"","","","",0.0625,IP,25.8,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012616LEA_10sec)/C03_RD14-0003-04d3U105-0.0313IP-Q184.8_003.10sec.fsa,C,03,RD14-0003-04d3U105,"",RD14-0003,04d3U105,4,3U105,"","","","",0.0313,IP,184.8,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012616LEA_10sec)/D01_RD14-0003-04d2U15-0.125IP-Q2.4_004.10sec.fsa,D,01,RD14-0003-04d2U15,"",RD14-0003,04d2U15,4,2U15,"","","","",0.125,IP,2.4,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012616LEA_10sec)/D02_RD14-0003-04d3U60-0.0313IP-Q25.8_004.10sec.fsa,D,02,RD14-0003-04d3U60,"",RD14-0003,04d3U60,4,3U60,"","","","",0.0313,IP,25.8,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012616LEA_10sec)/D03_RD14-0003-04d3U105-0.0156IP-Q184.8_004.10sec.fsa,D,03,RD14-0003-04d3U105,"",RD14-0003,04d3U105,4,3U105,"","","","",0.0156,IP,184.8,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012616LEA_10sec)/E01_RD14-0003-04d3U15-0.0625IP-Q2.0_001.10sec.fsa,E,01,RD14-0003-04d3U15,"",RD14-0003,04d3U15,4,3U15,"","","","",0.0625,IP,2.0,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012616LEA_10sec)/E02_RD14-0003-04d3U60-0.0156IP-Q25.8_001.10sec.fsa,E,02,RD14-0003-04d3U60,"",RD14-0003,04d3U60,4,3U60,"","","","",0.0156,IP,25.8,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012616LEA_10sec)/F01_RD14-0003-04d3U15-0.0313IP-Q2.0_002.10sec.fsa,F,01,RD14-0003-04d3U15,"",RD14-0003,04d3U15,4,3U15,"","","","",0.0313,IP,2.0,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012616LEA_10sec)/F02_RD14-0003-04d1U105-0.5IP-Q1.2_002.10sec.fsa,F,02,RD14-0003-04d1U105,"",RD14-0003,04d1U105,4,1U105,"","","","",0.5,IP,1.2,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012616LEA_10sec)/F03_RB031815ADG-IP_002.10sec.fsa,F,03,RB031815ADG,RB031815ADG,"","",,"","","","","",,IP,"",002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012616LEA_10sec)/G01_RD14-0003-04d3U15-0.0156IP-Q2.0_003.10sec.fsa,G,01,RD14-0003-04d3U15,"",RD14-0003,04d3U15,4,3U15,"","","","",0.0156,IP,2.0,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012616LEA_10sec)/G02_RD14-0003-04d1U105-0.25IP-Q1.2_003.10sec.fsa,G,02,RD14-0003-04d1U105,"",RD14-0003,04d1U105,4,1U105,"","","","",0.25,IP,1.2,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012616LEA_10sec)/G03_POS032015ADG-IP_003.10sec.fsa,G,03,POS032015ADG,POS032015ADG,"","",,"","","","","",,IP,"",003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012616LEA_10sec)/H01_RD14-0003-04d1U60-0.5IP-Q1.2_004.10sec.fsa,H,01,RD14-0003-04d1U60,"",RD14-0003,04d1U60,4,1U60,"","","","",0.5,IP,1.2,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012616LEA_10sec)/H02_RD14-0003-04d2U105-0.125IP-Q47.4_004.10sec.fsa,H,02,RD14-0003-04d2U105,"",RD14-0003,04d2U105,4,2U105,"","","","",0.125,IP,47.4,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012616LEA_10sec)/H03_NEG032015ADG-IP_004.10sec.fsa,H,03,NEG032015ADG,NEG032015ADG,"","",,"","","","","",,IP,"",004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012716LEA_10sec)/A01_Ladder-IP_001.10sec.fsa,A,01,Ladder,Ladder,"","",,"","","","","",,IP,"",001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012716LEA_10sec)/A02_RD14-0003-05d2U60-0.25IP-Q9.6_001.10sec.fsa,A,02,RD14-0003-05d2U60,"",RD14-0003,05d2U60,5,2U60,"","","","",0.25,IP,9.6,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012716LEA_10sec)/A03_RD14-0003-05d3U105-0.0625IP-Q35.6_001.10sec.fsa,A,03,RD14-0003-05d3U105,"",RD14-0003,05d3U105,5,3U105,"","","","",0.0625,IP,35.6,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012716LEA_10sec)/B01_RD14-0003-05d2U15-0.5IP-Q1.7_002.10sec.fsa,B,01,RD14-0003-05d2U15,"",RD14-0003,05d2U15,5,2U15,"","","","",0.5,IP,1.7,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012716LEA_10sec)/B02_RD14-0003-05d3U60-0.125IP-Q10.8_002.10sec.fsa,B,02,RD14-0003-05d3U60,"",RD14-0003,05d3U60,5,3U60,"","","","",0.125,IP,10.8,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012716LEA_10sec)/B03_Ladder-IP_002.10sec.fsa,B,03,Ladder,Ladder,"","",,"","","","","",,IP,"",002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012716LEA_10sec)/B06_RB032515ADG-IP_002.10sec.fsa,B,06,RB032515ADG,RB032515ADG,"","",,"","","","","",,IP,"",002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012716LEA_10sec)/C01_RD14-0003-05d2U15-0.25IP-Q1.7_003.10sec.fsa,C,01,RD14-0003-05d2U15,"",RD14-0003,05d2U15,5,2U15,"","","","",0.25,IP,1.7,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012716LEA_10sec)/C02_RD14-0003-05d3U60-0.0625IP-Q10.8_003.10sec.fsa,C,02,RD14-0003-05d3U60,"",RD14-0003,05d3U60,5,3U60,"","","","",0.0625,IP,10.8,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012716LEA_10sec)/C03_RD14-0003-05d3U105-0.0313IP-Q35.6_003.10sec.fsa,C,03,RD14-0003-05d3U105,"",RD14-0003,05d3U105,5,3U105,"","","","",0.0313,IP,35.6,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012716LEA_10sec)/C05_Ladder-IP_003.10sec.fsa,C,05,Ladder,Ladder,"","",,"","","","","",,IP,"",003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012716LEA_10sec)/D01_RD14-0003-05d3U15-0.125IP-Q1.3_004.10sec.fsa,D,01,RD14-0003-05d3U15,"",RD14-0003,05d3U15,5,3U15,"","","","",0.125,IP,1.3,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012716LEA_10sec)/D02_RD14-0003-05d3U60-0.0313IP-Q10.8_004.10sec.fsa,D,02,RD14-0003-05d3U60,"",RD14-0003,05d3U60,5,3U60,"","","","",0.0313,IP,10.8,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012716LEA_10sec)/D03_RD14-0003-05d3U105-0.0156IP-Q35.6_004.10sec.fsa,D,03,RD14-0003-05d3U105,"",RD14-0003,05d3U105,5,3U105,"","","","",0.0156,IP,35.6,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012716LEA_10sec)/D06_POS041715ADG-IP_004.10sec.fsa,D,06,POS041715ADG,POS041715ADG,"","",,"","","","","",,IP,"",004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012716LEA_10sec)/E01_RD14-0003-05d3U15-0.0625IP-Q1.3_001.10sec.fsa,E,01,RD14-0003-05d3U15,"",RD14-0003,05d3U15,5,3U15,"","","","",0.0625,IP,1.3,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012716LEA_10sec)/E02_RD14-0003-05d3U60-0.0156IP-Q10.8_001.10sec.fsa,E,02,RD14-0003-05d3U60,"",RD14-0003,05d3U60,5,3U60,"","","","",0.0156,IP,10.8,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012716LEA_10sec)/E06_NEG041715ADG-IP_001.10sec.fsa,E,06,NEG041715ADG,NEG041715ADG,"","",,"","","","","",,IP,"",001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012716LEA_10sec)/F01_RD14-0003-05d3U15-0.0313IP-Q1.3_002.10sec.fsa,F,01,RD14-0003-05d3U15,"",RD14-0003,05d3U15,5,3U15,"","","","",0.0313,IP,1.3,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012716LEA_10sec)/F02_RD14-0003-05d1U105-0.5IP-Q1.2_002.10sec.fsa,F,02,RD14-0003-05d1U105,"",RD14-0003,05d1U105,5,1U105,"","","","",0.5,IP,1.2,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012716LEA_10sec)/F06_RB1022315ADG-IP_002.10sec.fsa,F,06,RB1022315ADG,RB1022315ADG,"","",,"","","","","",,IP,"",002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012716LEA_10sec)/G01_RD14-0003-05d3U15-0.0156IP-Q1.3_003.10sec.fsa,G,01,RD14-0003-05d3U15,"",RD14-0003,05d3U15,5,3U15,"","","","",0.0156,IP,1.3,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012716LEA_10sec)/G02_RD14-0003-05d2U105-0.25IP-Q23.1_003.10sec.fsa,G,02,RD14-0003-05d2U105,"",RD14-0003,05d2U105,5,2U105,"","","","",0.25,IP,23.1,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012716LEA_10sec)/H01_RD14-0003-05d2U60-0.5IP-Q9.6_004.10sec.fsa,H,01,RD14-0003-05d2U60,"",RD14-0003,05d2U60,5,2U60,"","","","",0.5,IP,9.6,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012716LEA_10sec)/H02_RD14-0003-05d3U105-0.125IP-Q35.6_004.10sec.fsa,H,02,RD14-0003-05d3U105,"",RD14-0003,05d3U105,5,3U105,"","","","",0.125,IP,35.6,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012716LEA_10sec)/H05_EB032415ADG-IP_004.10sec.fsa,H,05,EB032415ADG,EB032415ADG,"","",,"","","","","",,IP,"",004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012916LEA_10sec)/A01_Ladder-IP_001.10sec.fsa,A,01,Ladder,Ladder,"","",,"","","","","",,IP,"",001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012916LEA_10sec)/A02_RD14-0003-27d3a-0.3IP-Q0.9_001.10sec.fsa,A,02,RD14-0003-27d3a,"",RD14-0003,27d3a,27,3a,"","","","",0.3,IP,0.9,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012916LEA_10sec)/A03_RD14-0003-27d3c-0.2IP-Q1.1_001.10sec.fsa,A,03,RD14-0003-27d3c,"",RD14-0003,27d3c,27,3c,"","","","",0.2,IP,1.1,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012916LEA_10sec)/A04_RD14-0003-27d3d-0.0078IP-Q1.6_001.10sec.fsa,A,04,RD14-0003-27d3d,"",RD14-0003,27d3d,27,3d,"","","","",0.0078,IP,1.6,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012916LEA_10sec)/A05_RD14-0003-27d3e-0.0078IP-Q5.7_001.10sec.fsa,A,05,RD14-0003-27d3e,"",RD14-0003,27d3e,27,3e,"","","","",0.0078,IP,5.7,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012916LEA_10sec)/A06_RD14-0003-28d2a-0.0625IP-Q1.0_001.10sec.fsa,A,06,RD14-0003-28d2a,"",RD14-0003,28d2a,28,2a,"","","","",0.0625,IP,1.0,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012916LEA_10sec)/A07_RD14-0003-28d2c-0.0625IP-Q1.7_001.10sec.fsa,A,07,RD14-0003-28d2c,"",RD14-0003,28d2c,28,2c,"","","","",0.0625,IP,1.7,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012916LEA_10sec)/A08_RD14-0003-28d2d-0.125IP-Q2.0_001.10sec.fsa,A,08,RD14-0003-28d2d,"",RD14-0003,28d2d,28,2d,"","","","",0.125,IP,2.0,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012916LEA_10sec)/A09_RD14-0003-28d2e-0.125IP-Q1.8_001.10sec.fsa,A,09,RD14-0003-28d2e,"",RD14-0003,28d2e,28,2e,"","","","",0.125,IP,1.8,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012916LEA_10sec)/A10_RB1032315LEA-IP_001.10sec.fsa,A,10,RB1032315LEA,RB1032315LEA,"","",,"","","","","",,IP,"",001,10
